Local time,Open,High,Low,Close,Volume
18.08.2025 03:10:00.000 GMT+0200,3342.835,3343.748,3342.775,3343.145,25200
18.08.2025 03:11:00.000 GMT+0200,3343.105,3344.005,3342.915,3343.365,17230
18.08.2025 03:12:00.000 GMT+0200,3343.305,3343.815,3342.655,3342.885,16500
18.08.2025 03:13:00.000 GMT+0200,3342.895,3343.305,3342.535,3342.665,14400
18.08.2025 03:14:00.000 GMT+0200,3342.605,3342.605,3341.835,3342.585,14640
18.08.2025 03:15:00.000 GMT+0200,3342.605,3343.765,3342.515,3343.535,13500
18.08.2025 03:16:00.000 GMT+0200,3343.455,3343.455,3341.545,3341.548,14880
18.08.2025 03:17:00.000 GMT+0200,3341.548,3342.848,3341.435,3342.648,16710
18.08.2025 03:18:00.000 GMT+0200,3342.648,3342.648,3341.645,3341.655,23970
18.08.2025 03:19:00.000 GMT+0200,3341.605,3342.545,3341.405,3342.165,32880
18.08.2025 03:20:00.000 GMT+0200,3342.198,3342.455,3341.515,3341.875,23010
18.08.2025 03:21:00.000 GMT+0200,3341.875,3342.105,3341.305,3341.435,17940
18.08.2025 03:22:00.000 GMT+0200,3341.435,3342.375,3340.875,3342.225,20560
18.08.2025 03:23:00.000 GMT+0200,3342.205,3342.205,3340.945,3341.755,25800
18.08.2025 03:24:00.000 GMT+0200,3341.755,3341.815,3340.745,3340.885,14550
18.08.2025 03:25:00.000 GMT+0200,3340.885,3340.885,3340.075,3340.165,18280
18.08.2025 03:26:00.000 GMT+0200,3340.245,3340.795,3339.605,3340.795,13810
18.08.2025 03:27:00.000 GMT+0200,3341.045,3341.345,3340.925,3340.985,11280
18.08.2025 03:28:00.000 GMT+0200,3340.985,3340.985,3340.165,3340.825,14580
18.08.2025 03:29:00.000 GMT+0200,3340.825,3340.905,3339.935,3340.285,19260
18.08.2025 03:30:00.000 GMT+0200,3340.285,3340.965,3339.485,3339.845,23640
18.08.2025 03:31:00.000 GMT+0200,3339.825,3341.035,3339.465,3339.775,15240
18.08.2025 03:32:00.000 GMT+0200,3339.815,3340.055,3339.425,3339.915,12450
18.08.2025 03:33:00.000 GMT+0200,3339.945,3340.645,3339.885,3340.265,11040
18.08.2025 03:34:00.000 GMT+0200,3340.225,3341.055,3339.985,3340.635,18450
18.08.2025 03:35:00.000 GMT+0200,3340.625,3342.085,3340.305,3342.035,16560
18.08.2025 03:36:00.000 GMT+0200,3341.985,3342.945,3341.695,3342.725,19410
18.08.2025 03:37:00.000 GMT+0200,3342.755,3342.995,3342.465,3342.735,12210
18.08.2025 03:38:00.000 GMT+0200,3342.785,3343.115,3342.475,3342.575,16560
18.08.2025 03:39:00.000 GMT+0200,3342.575,3344.205,3342.575,3343.875,23880
18.08.2025 03:40:00.000 GMT+0200,3343.865,3344.645,3343.385,3344.605,23700
18.08.2025 03:41:00.000 GMT+0200,3344.575,3345.345,3344.305,3344.525,21060
18.08.2025 03:42:00.000 GMT+0200,3344.475,3344.475,3343.345,3343.765,20790
18.08.2025 03:43:00.000 GMT+0200,3343.795,3343.975,3343.715,3343.935,12690
18.08.2025 03:44:00.000 GMT+0200,3343.895,3344.595,3343.795,3344.075,11460
18.08.2025 03:45:00.000 GMT+0200,3344.065,3344.395,3343.495,3344.305,15360
18.08.2025 03:46:00.000 GMT+0200,3344.348,3344.565,3344.055,3344.335,10740
18.08.2025 03:47:00.000 GMT+0200,3344.365,3344.795,3344.305,3344.795,12450
18.08.2025 03:48:00.000 GMT+0200,3344.765,3345.598,3344.765,3345.015,16380
18.08.2025 03:49:00.000 GMT+0200,3344.955,3345.705,3344.955,3345.455,13240
18.08.2025 03:50:00.000 GMT+0200,3345.498,3345.945,3345.425,3345.795,15600
18.08.2025 03:51:00.000 GMT+0200,3345.735,3347.245,3345.695,3346.505,28590
18.08.2025 03:52:00.000 GMT+0200,3346.545,3346.965,3346.015,3346.015,15180
18.08.2025 03:53:00.000 GMT+0200,3345.985,3346.765,3345.855,3345.975,18550
18.08.2025 03:54:00.000 GMT+0200,3346.105,3346.885,3346.105,3346.425,12540
18.08.2025 03:55:00.000 GMT+0200,3346.505,3346.785,3346.185,3346.405,8760
18.08.2025 03:56:00.000 GMT+0200,3346.355,3346.435,3345.915,3345.955,12840
18.08.2025 03:57:00.000 GMT+0200,3345.885,3345.965,3345.225,3345.225,15840
18.08.2025 03:58:00.000 GMT+0200,3345.255,3346.425,3345.255,3346.345,15450
18.08.2025 03:59:00.000 GMT+0200,3346.455,3346.905,3346.365,3346.705,14490
18.08.2025 04:00:00.000 GMT+0200,3346.685,3347.165,3346.535,3347.115,14460
18.08.2025 04:01:00.000 GMT+0200,3347.165,3347.375,3346.885,3347.085,9210
18.08.2025 04:02:00.000 GMT+0200,3347.155,3347.155,3346.565,3346.995,8040
18.08.2025 04:03:00.000 GMT+0200,3346.995,3347.085,3346.715,3347.015,9450
18.08.2025 04:04:00.000 GMT+0200,3347.045,3347.335,3345.815,3345.835,13560
18.08.2025 04:05:00.000 GMT+0200,3345.865,3345.885,3345.275,3345.455,10200
18.08.2025 04:06:00.000 GMT+0200,3345.425,3345.635,3344.755,3345.515,14760
18.08.2025 04:07:00.000 GMT+0200,3345.535,3346.315,3345.445,3346.295,12330
18.08.2025 04:08:00.000 GMT+0200,3346.275,3346.485,3346.075,3346.245,10200
18.08.2025 04:09:00.000 GMT+0200,3346.305,3346.305,3345.795,3346.065,10320
18.08.2025 04:10:00.000 GMT+0200,3346.045,3346.225,3345.645,3346.045,9330
18.08.2025 04:11:00.000 GMT+0200,3346.065,3346.095,3345.265,3345.325,10320
18.08.2025 04:12:00.000 GMT+0200,3345.155,3345.535,3345.045,3345.325,12840
18.08.2025 04:13:00.000 GMT+0200,3345.355,3345.425,3344.735,3345.115,9600
18.08.2025 04:14:00.000 GMT+0200,3345.065,3345.195,3344.325,3344.335,10680
18.08.2025 04:15:00.000 GMT+0200,3344.335,3344.365,3343.945,3344.195,14190
18.08.2025 04:16:00.000 GMT+0200,3344.165,3344.165,3343.435,3343.848,11230
18.08.2025 04:17:00.000 GMT+0200,3343.875,3344.445,3343.795,3344.365,9480
18.08.2025 04:18:00.000 GMT+0200,3344.335,3344.405,3343.185,3343.395,8760
18.08.2025 04:19:00.000 GMT+0200,3343.415,3344.205,3343.335,3343.575,13560
18.08.2025 04:20:00.000 GMT+0200,3343.555,3343.615,3342.965,3343.545,13920
18.08.2025 04:21:00.000 GMT+0200,3343.575,3343.975,3343.295,3343.885,5760
18.08.2025 04:22:00.000 GMT+0200,3343.865,3343.925,3343.575,3343.825,5040
18.08.2025 04:23:00.000 GMT+0200,3343.805,3343.805,3343.475,3343.495,6190
18.08.2025 04:24:00.000 GMT+0200,3343.475,3343.685,3343.005,3343.155,7770
18.08.2025 04:25:00.000 GMT+0200,3343.075,3343.505,3343.015,3343.285,5280
18.08.2025 04:26:00.000 GMT+0200,3343.305,3343.305,3342.695,3342.865,6660
18.08.2025 04:27:00.000 GMT+0200,3342.875,3343.035,3342.125,3342.175,19490
18.08.2025 04:28:00.000 GMT+0200,3342.198,3342.605,3342.175,3342.375,18090
18.08.2025 04:29:00.000 GMT+0200,3342.395,3342.798,3342.355,3342.448,21490
18.08.2025 04:30:00.000 GMT+0200,3342.465,3343.225,3342.348,3343.105,50240
18.08.2025 04:31:00.000 GMT+0200,3343.065,3344.075,3342.855,3343.945,64080
18.08.2025 04:32:00.000 GMT+0200,3343.875,3343.875,3343.295,3343.645,40060
18.08.2025 04:33:00.000 GMT+0200,3343.625,3343.749,3343.335,3343.495,15870
18.08.2025 04:34:00.000 GMT+0200,3343.465,3343.945,3342.865,3343.175,30600
18.08.2025 04:35:00.000 GMT+0200,3343.145,3343.648,3343.145,3343.265,11690
18.08.2025 04:36:00.000 GMT+0200,3343.248,3344.455,3343.048,3344.048,14910
18.08.2025 04:37:00.000 GMT+0200,3344.048,3344.148,3343.448,3343.485,15470
18.08.2025 04:38:00.000 GMT+0200,3343.465,3344.348,3343.348,3343.848,23900
18.08.2025 04:39:00.000 GMT+0200,3343.835,3343.895,3343.548,3343.648,31650
18.08.2025 04:40:00.000 GMT+0200,3343.635,3344.198,3343.635,3343.648,20730
18.08.2025 04:41:00.000 GMT+0200,3343.648,3343.848,3343.148,3343.365,36820
18.08.2025 04:42:00.000 GMT+0200,3343.448,3343.448,3342.735,3343.065,19600
18.08.2025 04:43:00.000 GMT+0200,3343.085,3343.325,3342.755,3343.255,28280
18.08.2025 04:44:00.000 GMT+0200,3343.285,3343.798,3342.985,3343.798,24730
18.08.2025 04:45:00.000 GMT+0200,3343.798,3344.125,3343.498,3343.898,30760
18.08.2025 04:46:00.000 GMT+0200,3343.865,3343.865,3343.205,3343.298,25860
18.08.2025 04:47:00.000 GMT+0200,3343.275,3343.405,3342.685,3342.715,26560
18.08.2025 04:48:00.000 GMT+0200,3342.785,3343.155,3342.505,3342.965,44560
18.08.2025 04:49:00.000 GMT+0200,3342.965,3343.048,3342.348,3342.805,35010
18.08.2025 04:50:00.000 GMT+0200,3342.725,3343.175,3342.715,3343.115,33180
18.08.2025 04:51:00.000 GMT+0200,3343.105,3343.185,3342.885,3342.965,8680
